dataset,scope,field,finite_count,missing_count,nonfinite_count,min,q1,median,q3,max,mean,std_population,iqr_outlier_count
test2,测试集,b_mean_T,80,0,0,-1.6601562500065392e-07,-2.46582034305054e-11,4.882825914431788e-13,2.3437501288706142e-11,6.83593749991468e-08,-9.751342772672126e-10,2.016795455512576e-08,5
test2,测试集,b_peak_abs_T,80,0,0,0.011928353,0.02492702775,0.0390441345,0.062347401499999996,0.27517111,0.053539841725,0.041949981343854956,6
test2,测试集,b_peak_to_peak_T,80,0,0,0.023837413000000002,0.049441149000000004,0.077508719,0.12348248225,0.543982258,0.1061555866375,0.08304599241882266,6
test2,测试集,b_rms_T,80,0,0,0.007065922027268878,0.016022877707781765,0.02360684500316925,0.03811604853327441,0.15765196563848236,0.03228430529582289,0.02402400729708153,6
test2,测试集,frequency_Hz,80,0,0,50020.0,122452.5,177890.0,316230.0,501180.0,213158.25,121647.20139377436,0
test2,测试集,sample_id,80,0,0,1.0,20.75,40.5,60.25,80.0,40.5,23.092206477510977,0
test2,测试集,temperature_C,80,0,0,25.0,25.0,70.0,70.0,90.0,57.9375,23.686675447390247,0
test3,测试集,b_mean_T,400,0,0,-2.539062500042655e-07,-2.0751952673619956e-11,-1.4648386670312874e-12,2.539062449874452e-11,1.5625000000796252e-07,4.3985571294199305e-10,2.3636012829917665e-08,33
test3,测试集,b_peak_abs_T,400,0,0,0.009731316,0.02774987375,0.0504822685,0.09843521375,0.309066044,0.077327688125,0.06706997574238771,26
test3,测试集,b_peak_to_peak_T,400,0,0,0.01931985,0.055254136749999995,0.099811666,0.19635162275,0.616630169,0.153769830405,0.13349028001439056,26
test3,测试集,b_rms_T,400,0,0,0.0056407973154142445,0.017730559406203113,0.03411283548752832,0.06665830231470694,0.19552811976148143,0.04868466596813174,0.041665970922683,21
test3,测试集,frequency_Hz,400,0,0,50020.0,89210.0,158730.0,281850.0,501180.0,191437.525,118589.02638998421,0
test3,测试集,sample_id,400,0,0,1.0,100.75,200.5,300.25,400.0,200.5,115.46969299344309,0
test3,测试集,temperature_C,400,0,0,25.0,25.0,50.0,70.0,90.0,56.35,24.742220999740507,0
train,all,b_mean_T,12400,0,0,-3.222656249982081e-07,-2.441406126742207e-11,0.0,2.4414062026363592e-11,3.222656249982081e-07,-5.581227630663599e-11,2.2209363051262606e-08,1051
train,all,b_peak_abs_T,12400,0,0,0.00963815,0.027461707999999998,0.049918821,0.10090225825,0.313284469,0.07771510975338711,0.06805362565028578,804
train,all,b_peak_to_peak_T,12400,0,0,0.019089317,0.054294443500000004,0.099196808,0.200723881,0.625702812,0.1544531645187097,0.13537058634034024,804
train,all,b_rms_T,12400,0,0,0.005595854116422822,0.017503502746436785,0.03467300837249985,0.06917906888703244,0.2133066453062507,0.048862387727791445,0.042658157194917376,546
train,all,core_loss_W_per_m3,12400,0,0,415.6131139,10517.72905,45460.0996,206707.8813,3616132.536,198978.28830621458,376314.8131227793,1467
train,all,frequency_Hz,12400,0,0,49990.0,89210.0,158730.0,251240.0,501180.0,192023.26774193547,122644.40554064681,489
train,all,temperature_C,12400,0,0,25.0,25.0,50.0,70.0,90.0,58.20483870967742,24.25393168938472,0
