row_id,material,waveform,q5_region_id,y_pred_oof,y_pred_full,core_loss_W_per_m3,full_oof_log_gap,full_oof_gap_p90,full_oof_gap_pass,oof_absolute_log_residual,oof_residual_p90,oof_residual_pass,dual_pareto_pass,region_fold_support_pass,prebootstrap_single_point_eligible
附件一（训练集）.xlsx|材料3|506,材料3,正弦波,材料3|正弦波|25|fq0|bq2,46313.4511227,47285.3646275,67744.66643,0.020767948005,0.0190497212496,False,0.380306461907,0.375140258962,False,False,False,False
附件一（训练集）.xlsx|材料3|232,材料3,正弦波,材料3|正弦波|70|fq3|bq1,31084.0619242,31414.2972638,30660.68314,0.0105675684779,0.0190497212496,True,0.013713610941,0.375140258962,True,False,False,False
附件一（训练集）.xlsx|材料1|1542,材料1,三角波,材料1|三角波|50|fq3|bq0,6618.34497249,6650.3610876,9164.466149,0.00482509025221,0.014296241243,True,0.325446323564,0.286493148581,False,False,False,False
附件一（训练集）.xlsx|材料4|118,材料4,正弦波,材料4|正弦波|25|fq2|bq0,2037.62904432,2067.51306009,1549.723788,0.0145524758569,0.0175580308738,True,0.273555762901,0.335334399198,True,False,False,False
附件一（训练集）.xlsx|材料4|2213,材料4,三角波,材料4|三角波|50|fq3|bq2,381211.602281,383080.142477,383298.3837,0.00488959626215,0.0310059616819,True,0.00545913377373,0.331426655222,True,False,False,False
附件一（训练集）.xlsx|材料3|195,材料3,正弦波,材料3|正弦波|70|fq0|bq3,341937.142586,340176.552749,322380.2729,0.00516215580055,0.0190497212496,True,0.0588949286652,0.375140258962,True,False,False,False
附件一（训练集）.xlsx|材料4|2419,材料4,三角波,材料4|三角波|70|fq3|bq2,552982.70318,555921.319893,597269.9482,0.00530004081639,0.0310059616819,True,0.0770423287644,0.331426655222,True,False,False,False
附件一（训练集）.xlsx|材料1|2621,材料1,三角波,材料1|三角波|50|fq3|bq0,7924.54838282,7882.11352725,9628.686851,0.00536857043704,0.014296241243,True,0.194759193273,0.286493148581,True,False,False,False
附件一（训练集）.xlsx|材料4|1822,材料4,三角波,材料4|三角波|90|fq3|bq1,271553.09721,271808.209129,308767.1293,0.000939010546972,0.0310059616819,True,0.128429231998,0.331426655222,True,False,False,False
附件一（训练集）.xlsx|材料1|1645,材料1,三角波,材料1|三角波|50|fq0|bq3,213500.126714,214695.367231,223381.2228,0.00558267452829,0.014296241243,True,0.045242197816,0.286493148581,True,False,False,False
附件一（训练集）.xlsx|材料1|2482,材料1,梯形波,材料1|梯形波|25|fq1|bq2,36003.4066792,36206.1885602,36511.78654,0.00561633940813,0.011242077398,True,0.014021176686,0.268110445612,True,False,False,False
附件一（训练集）.xlsx|材料1|2117,材料1,三角波,材料1|三角波|90|fq2|bq3,502235.520155,502117.599556,564686.3717,0.000234818536248,0.014296241243,True,0.117201089161,0.286493148581,True,False,False,False
附件一（训练集）.xlsx|材料2|112,材料2,正弦波,材料2|正弦波|50|fq0|bq2,32842.3405897,32762.9968451,36608.34041,0.00241874724336,0.0213803155083,True,0.108554407703,0.385179645545,True,False,False,False
附件一（训练集）.xlsx|材料4|1396,材料4,三角波,材料4|三角波|50|fq1|bq3,181630.164123,181765.665991,197862.8587,0.000745749495737,0.0310059616819,True,0.0856011518272,0.331426655222,True,False,False,False
附件一（训练集）.xlsx|材料2|1134,材料2,三角波,材料2|三角波|25|fq3|bq0,48150.8022191,48523.1463722,37073.72973,0.00770297058646,0.0140403461107,True,0.261422968629,0.29337681107,True,False,False,False
